PlotID,Field_D_mean,Field_D_std,Field_D_min,Field_D_max,Field_D_count,TLS_DBH_mean,TLS_DBH_std,TLS_DBH_min,TLS_DBH_max,TLS_DBH_count,PC_Tools_DBH_mean,PC_Tools_DBH_std,PC_Tools_DBH_min,PC_Tools_DBH_max,PC_Tools_DBH_count,3DFIN_DBH_mean,3DFIN_DBH_std,3DFIN_DBH_min,3DFIN_DBH_max,3DFIN_DBH_count,TLS_DBH_RMSE,TLS_DBH_Bias,PC_Tools_DBH_RMSE,PC_Tools_DBH_Bias,3DFIN_DBH_RMSE,3DFIN_DBH_Bias
599096,17.310344827586203,7.622488675009071,5.1,29.1,87,17.597701149425287,7.625629627248849,3.0,31.0,87,17.249744029788506,8.246136311354068,0.789998805640791,30.926971358688,87,19.723320701285854,8.760450102415922,0.0,31.8610829378156,51,3.3664675029288285,0.28735632183908044,3.97782918491256,-0.06060079779770386,7.728383258096222,-2.8668753771455195
599099,11.585436893203886,3.4218561574319515,5.3,25.0,103,14.300970873786408,3.4494527882490336,3.0,25.0,103,12.82980716065227,3.243499314595137,7.47685351028054,26.1181373629973,103,11.80803304770799,5.055271691609964,0.0,26.794574167812602,91,3.5739483482720487,2.7155339805825247,1.988694291924542,1.244370267448385,3.2052085478612486,0.20143964111458373
599101,14.111904761904762,4.288638145478951,6.9,25.5,126,15.380952380952381,4.737690817868372,3.0,31.0,126,15.088916879030867,4.450887173123638,7.45636897607249,28.2312170547261,126,15.282998581244428,4.93287722126651,0.0,29.2299355766498,123,2.2147234590350102,1.2690476190476192,1.2334974403462142,0.9770121171261051,2.325252758308519,1.1236489877484919
599106,30.839189189189195,9.05517058934139,5.5,46.5,74,32.027027027027025,9.043234015069737,7.000000000000001,49.0,74,32.109236451050016,8.948015694643933,6.57729850242651,50.0219294600093,74,32.57566065791281,8.489926137020499,6.35069730731783,48.833809573105604,73,1.910249736043445,1.1878378378378374,1.7623547096440095,1.2700472618608294,1.97322080867296,1.4277154524333608
599107,13.600000000000001,3.825898587260253,5.8,29.2,121,14.619834710743802,4.345987034700532,3.0,28.999999999999996,121,14.57487862728086,3.537487198317319,4.18723921914982,29.5899601910684,121,14.721797646848804,4.701238145697346,0.0,30.432853240611703,113,2.4421572904718807,1.0198347107438015,1.9345415884099075,0.9748786272808593,2.5977550748229152,1.0713551689726988
599109,22.767857142857142,8.171260215321348,5.1,39.5,56,23.035714285714285,9.330232942067779,1.0,43.0,56,21.975365068375527,7.693727643264097,2.61333962268102,39.9125512383797,56,25.4858234129878,6.880037895240213,0.0,41.030507444745304,48,2.4703238654071247,0.26785714285714246,2.6960056120363425,-0.7924920744816164,5.037368524361928,0.2066567463211335
599110,19.390090090090087,10.045912375008825,5.1,36.7,111,19.73873873873874,10.668314778489627,3.0,41.0,111,20.88876581943929,9.038109798134856,4.59953676706324,38.4498230623286,111,22.536008559851684,10.58743052193228,0.0,35.7576893651325,73,2.859046019941642,0.34864864864864803,2.7329868378922053,1.4986757293492006,7.129473802732699,-2.0064571935729787
599969,24.731746031746027,13.632702917532004,5.2,50.0,63,25.41269841269841,13.469960510317526,7.000000000000001,51.0,63,26.588584243096847,13.257464563704861,5.92760975031909,50.4222944347784,63,27.155783017119205,12.960806651739617,0.0,51.471281359235,54,2.4471233516953528,0.680952380952381,3.3323414366434587,1.85683821135082,2.076045281740206,0.5317089430451291
600015,22.03,8.629858720654791,5.5,35.8,40,22.9,8.508818954473059,3.0,41.0,40,22.90695564197575,8.01029414446104,4.58333793139548,38.553774222974,40,24.29200223278699,7.239333575887095,0.0,37.3801847530422,33,2.4826397241645837,0.8699999999999999,2.6252523626964783,0.8769556419757499,2.903209798127352,-0.14436140357664176
600016,19.956666666666667,11.236488015449858,5.1,40.1,90,20.8,10.381703871759148,3.0,39.0,90,21.60314986017257,9.594273818586467,3.13379129386936,38.9702833379017,90,24.064286105555034,9.645620300977441,0.0,38.3113836167556,63,3.8195258577181774,0.843333333333333,3.733260492353283,1.6464831935059072,6.097678790073206,-0.9166662753973521
600031,25.39148936170212,5.874249612558041,13.4,38.9,94,25.680851063829788,6.362208255909106,13.0,47.0,94,25.949680586740165,5.717868002693555,13.8742979433418,39.0277186607718,94,26.33786429662389,6.165178653463753,13.912120825392599,47.6273448359839,93,1.7993497643504681,0.2893617021276589,1.1107935412926002,0.5581912250380352,1.8081514346876517,0.9894771998497001
600032,30.276595744680854,8.732976303393574,10.1,49.9,47,31.21276595744681,8.639988350970322,11.0,53.0,47,29.866162427914762,9.862834013113954,2.49992209109474,53.2650271799608,47,32.48092215774361,7.962925266090956,16.0961314530682,53.25254657595,43,1.8217363706791712,0.9361702127659571,4.56092998207612,-0.41043331676609285,3.020478617739155,1.3972012275110623
