TLS_tree_id,TLS_x,TLS_y,TLS_z,field_X_local,field_X_utm,field_X_utm_korj,field_KoealaId,field_KoealaNro,TLS_dbh,TLS_tree_ht,field_D,field_DEst,field_H,field_HEst,field_H_Laser,field_H_Laser_korj,field_match,distance,cost,field_PuuLk,field_TEst,field_VEst,dbh,h,hmax,d05,d6,hstemmax_rawtapercurve,hstemmax_stempc,hstemmax_tapercurve,pointcount,stempointcount,stempointcount_clean,crownpointcount,ba,vlog,vol,vpulp,tree_specie,treesp,Ulkona,distance_to_threedfin_cm,threedfin_match,threedfin_dbh,threedfin_hmax,threedfin_x,threedfin_y
28,615471.5,6927662.13,103.08,NA,NA,615471.758,572638,0,0.13,10.14,10.1,10.1,NaN,11.01,10.38,11.01,7459371,0.262992395353133,0.639992395353133,1,21,46.15,11.5641131126717,10.3,10.34956,10.6527752536401,9.12584950288779,7.242,7.24688,7.234,233773,76849,76845,156924,0.0105030284863232,0,0.0732528033386717,0.0714822565552824,1,1,NaN,7.80327027868039,19,0.139541141025472,12.1694075989185,615471.532455086,6927662.20096316
29,615471.42,6927679.44,103.85,NA,NA,615471.528,572638,0,0.09,9.49,10.3,10.3,NaN,9.72,NaN,NaN,7459451,0.143836713425378,0.296836713425378,1,23,42.79,11.7249498996443,9.6,9.64753,10.9845439991881,9.2811999843682,8.24,8.64954999999999,5.39,342935,55305,53590,287630,0.0107972180661231,0,0.07038565081972,0.0682498842690725,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,615467,6927670.24,103.62,NA,NA,615466.948,572638,0,0.13,12.39,12.1,12.1,NaN,11.61,11,11.61,7459434,0.168237926907992,0.336237926907992,1,23,69.45,12.2326860157938,12.5,12.53038,11.8326746599152,12.1981748311545,6.994,6.99684000000001,2.796,629372,80649,59378,548723,0.0117525887237599,0,0.0999912960883363,0.0971528471918961,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,615474.26,6927660.28,102.83,NA,NA,615474.41,572638,0,0.13,9.89,11.5,11.5,9.8,9.8,9.03,9.64,7459370,0.171918585304757,0.330918585304757,1,23,52.77,13.1601550987767,9.9,9.99965999999999,13.0312533785848,11.3447419184914,8.6,8.99590999999999,5.39,223353,67282,65724,156071,0.0136022858338006,0,0.0966343821831831,0.0947559171057134,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,615471.15,6927662.26,103.08,NA,NA,615470.926,572638,0,0.13,10.01,12.3,12.3,NaN,12.02,11.41,12.02,7459369,0.225390771755422,0.496390771755422,1,23,74.32,14.3826183807479,10,10.07505,10.1284305045333,8.39601666501605,5.03,5.14958,5.03,368216,74037,73817,294179,0.016246723748221,0,0.0831956948475055,0.0803243680598442,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,615466.33,6927676.98,103.87,NA,NA,615466.169,572638,0,0.13,10.62,13.5,13.5,11,11,10.46,11.07,7459456,0.233413796127191,0.321413796127191,1,23,79.79,13.5618551576487,10.7,10.74004,11.2786970328801,10.3260473788035,4.01,3.99879,4.01,167299,19260,19260,148039,0.0144453505294873,0,0.0933110268830416,0.0908490590290419,2,2,NaN,2.16022655411936,70,0.139522951961463,12.4609475972826,615466.328371021,6927677.00154076
50,615476.21,6927663.85,103.07,NA,NA,615476.006,572638,0,0.11,11.14,9.6,9.6,NaN,11.12,10.49,11.12,7459376,0.249703824134852,0.391703824134852,1,21,42.09,12.2439123024839,7.99999000000001,7.99999000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,7.12988931710834,21,0.109620270950265,12.1911381332527,615476.14250272,6927663.82702938
51,615472.92,6927663.82,103.22,NA,NA,615472.783,572638,0,0.09,6.63,7.1,7.1,NaN,6.59,NaN,NaN,7459377,0.169026625343077,0.363026625343077,1,22,14.69,13.4466326470824,6.7,6.79289999999999,10.2599816883141,8.24697204497352,5.508,5.49965,5.508,105822,60752,60752,45070,0.014200935738545,0.0316992442170316,0.0811196560673487,0.0489070903048666,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,615476.58,6927663.02,103,NA,NA,615476.127,572638,0,0.09,9.52,6.7,6.7,NaN,6.19,NaN,NaN,7459375,0.453039733337003,1.016039733337,1,21,12.47,9.76728485174749,7.69994,7.69994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,2.22556320636508,18,0.0696375047644154,12.0912900083037,615476.560719603,6927663.00888337
54,615473.99,6927662.53,103.09,NA,NA,615473.997,572638,0,0.13,11.82,11.8,11.8,NaN,11.62,11.01,11.62,7459372,0.10523307509354,0.24523307509354,1,23,66.42,12.9931176525074,11.9,11.9469,12.3391996000685,12.3391996000685,3.41,3.39991000000001,3.41,573891,110481,110481,463410,0.0132591786855798,0,0.109223952467017,0.106881418589383,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
